List of Courses for 2020 Spring Semester,,,,,,,,
#,Course Code,Title,_L_T_P_C_ ,Total Student,Course Coordinator,Course Instructor,Slot,Room No
74,PH 106,Physics-II,2 - 1 - 0 - 3,153,Dr. Ankhi Roy,"Dr. Ankhi Roy, Dr. Preeti A. Bhobe,",J,IE-104
75,IHS 443/643,Contemporary Short Fiction,2 - 1 - 0 - 3,63,Dr. Nirmala Menon,"Dr. Nirmala Menon,",J,0
76,HS 206,Paradigms and Turning Points,2 - 1 - 0 - 3,7,Dr. C. Upendra,"Dr. C. Upendra,",K,0
77,HS 210,Indian Economy,2 - 1 - 0 - 3,59,Dr. Pritee Sharma,"Dr. Pritee Sharma, Dr. Ruchi Sharma,",K,1E-202A
78,HS 214,History of Indian Culture and Civilization,2 - 1 - 0 - 3,6,Dr. Shomik Dasgupta,"Dr. Shomik Dasgupta,",K,0
79,HS 216,Introduction to Hindi Cinema,2 - 1 - 0 - 3,1,Dr. Akshaya Kumar,"Dr. Akshaya Kumar,",K,0
80,AA 202N,Astronomical Techniques,2 - 1 - 0 - 3,9,Dr. Siddharth S. Malu,"Dr. Siddharth S. Malu, Dr. Suman Majumdar,",K,0
81,CH 202,Applications of Transition Metals and Lanthanides,2 - 1 - 0 - 3,0,Prof. Suman Mukhopadhyay,"Dr. Dipak Kumar Roy, Prof. Suman Mukhopadhyay,",K,0
82,MA 106(B),Linear Algebra and Ordinary Differential Equation-I,3 - 1 - 0 - 4,144,Dr. M. Tanveer,"Dr. M. Tanveer, Dr. Santanu Manna,",K,1B-201
83,ME 434/634,Principle of Product Design,2 - 1 - 0 - 3,13,Dr. Pavan Kumar Kankar,"Dr. Pavan Kumar Kankar,",S,sb
84,EE 740,Speech Signal Processing,2 - 1 - 0 - 3,8,Prof. Ram Bilas Pachori,"Prof. Ram Bilas Pachori,",S,0
85,ME 411/611,Refrigeration and Air Conditioning,2 - 1 - 0 - 3,4,Dr. Ritunesh Kumar,"Dr. Ritunesh Kumar,",S,0
86,MM 430/730,Two Dimensional Materials and Electronic Devices,2 - 1 - 0 - 3,43,Dr. Ajay Kumar Kushwaha,"Dr. Ajay Kumar Kushwaha,",S,1E-406
87,CE 448,Pre-stressed Concrete,2 - 1 - 0 - 3,14,Dr. Kaustav Bakshi,"Dr. Kaustav Bakshi,",S,1E-505
88,BSE 702,Applied Genetic Engineering,2 - 1 - 0 - 3,1,Dr. Prashant Kodgire,"Dr. Prashant Kodgire,",S,SB-314B
89,MA 780,Mathematical Logic,2 - 1 - 0 - 3,4,Dr. Md. Aquil Khan,"Dr. Md. Aquil Khan,",S,1E-202B
90,PH 660,Nuclear and Particle Physics,2 - 1 - 0 - 3,18,Dr. Manavendra Mahato,"Dr. Manavendra Mahato, Dr. Srimanta Pakhira,",S,1E-404
91,CE 426,Water Resources Systems,2 - 1 - 0 - 3,1,Dr. Munir Ahmad Nayak,"Dr. Munir Ahmad Nayak,",S,1E-408
92,CH 720,Asymmetric Synthesis,3 - 0 - 0 - 3,16,Dr. Selvakumar Sermadurai,"Dr. Selvakumar Sermadurai, Dr. Umesh Achyutrao Kshirsagar,",S,SB-209
93,BSE 618,Biostatistics and Bioinformatics,2 - 0 - 2 - 3,8,Dr. Parimal Kar,"Dr. Parimal Kar,",S,SB-314A
94,IHS 482,Introduction to International Development and Area Studies,2 - 1 - 0 - 3,34,Dr. Ashok Kumar Mocherla,"Dr. Akshaya Kumar, Dr. Ashok Kumar Mocherla,",S,0
95,AA 608N,Astrostatistics,2 - 1 - 0 - 3,23,Dr. Suman Majumdar,"Dr. Suman Majumdar,",S,1E-505
96,MA 706,Numerical Linear Algebra,2 - 1 - 0 - 3,12,Dr. Sk. Safique Ahmed,"Dr. Sk. Safique Ahmed,",T,SB-314B
97,AA 472N/672N,Galactic and Extragalactic Astronomy,2 - 1 - 0 - 3,39,Dr. Bhargav Vaidya,"Dr. Bhargav Vaidya, Dr. Siddharth S. Malu,",T,1E-408
98,HS 418/618,Sustainability Studies,3 - 0 - 0 - 3,46,Dr. Pritee Sharma,"Dr. Nirmala Menon, Dr. Pritee Sharma,",T,0
99,MA 610,Complex Analysis,3 - 1 - 0 - 4,12,Dr. Swadesh Kumar Sahoo,"Dr. Swadesh Kumar Sahoo,",T,0
100,ME 464/764,Microrobotics,2 - 1 - 0 - 3,12,Dr. I. A. Palani,"Dr. I. A. Palani,",T,0
101,MM 644,Integrated Computational Materials Engineering (ICME),2 - 0 - 2 - 3,9,Dr. Abhijit Ghosh,"Dr. Abhijit Ghosh,",T,1D-207
